"","ID","T3TOISA2","T3TOISA4","T3TOISA5","T3TOISA8","T3TOISA12","T3TOISA14","T3TOISA15","T3TOISA16","T3TOIspanx_O","T3TOIspanx_mi","T3TOIspanx"
"1",1,3,NA,2,4,3,2,2,2,2.57142857142857,1,2.57142857142857
"2",2,4,5,1,5,2,1,1,5,3,0,3
"3",3,5,4,3,4,4,3,4,4,3.875,0,3.875
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"5",5,4,1,1,1,1,1,1,3,1.625,0,1.625
"6",6,1,2,1,1,3,3,1,1,1.625,0,1.625
"7",7,5,4,3,5,1,1,1,1,2.625,0,2.625
"8",8,3,3,1,1,1,1,1,2,1.625,0,1.625
"9",9,5,5,3,5,5,5,5,1,4.25,0,4.25
"10",10,5,5,2,5,4,1,5,5,4,0,4
"11",11,5,1,1,1,2,1,5,4,2.5,0,2.5
"12",12,1,5,5,1,1,5,1,1,2.5,0,2.5
"13",13,1,2,2,1,3,2,1,1,1.625,0,1.625
"14",14,5,1,1,1,2,1,3,3,2.125,0,2.125
"15",15,5,1,1,5,2,2,2,1,2.375,0,2.375
"16",16,5,1,3,5,4,3,3,5,3.625,0,3.625
"17",17,4,5,4,5,3,5,3,1,3.75,0,3.75
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"19",19,1,1,5,4,5,1,5,1,2.875,0,2.875
"20",20,5,3,3,5,4,1,4,4,3.625,0,3.625
"21",21,1,1,5,1,5,1,5,1,2.5,0,2.5
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"23",23,5,1,3,5,1,1,1,1,2.25,0,2.25
"24",24,1,5,3,3,5,5,5,1,3.5,0,3.5
"25",25,5,1,1,5,1,1,5,1,2.5,0,2.5
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"27",27,4,1,3,4,1,1,3,4,2.625,0,2.625
"28",28,5,2,1,5,2,3,2,4,3,0,3
"29",29,2,4,1,5,2,1,1,5,2.625,0,2.625
