id,age,gen,edu,jdgoutfit,jdgjob,jdgborn,jdglive,jdgcar,jdguni,jdgdiet,jdgdrink,jdgteeth,jdgposts,jdggramr,jdgsparet,judgmt ,onenight,frndwb,sexo,datsites,firstdates,scnddates,ntlove,agevirg,cheat,sexyear,sexpartyear,sexpartlife,wlage,wldvrce,wlkids,wllive,wljob,wlfinance,wlinterest,wlsexhis,wldatehis
2,31,woman,bachelors degree,0,0,0,0,0,0,0,0,1,0,1,0,2,no,no,straight or heterosexual,NA,3,2,2,24,"Yes, I've committed both sexual and emotional infidelity",24,NA,3,1,0,0,0,1,0,0,0,0
23,50,woman,bachelors degree,1,0,0,0,0,0,0,0,1,1,0,1,4,yes,yes,straight or heterosexual,0,0,0,10,16,"Yes, I've committed both sexual and emotional infidelity",0,NA,25,0,0,0,0,1,0,1,0,0
32,42,woman,two year degree or some college,1,1,0,0,1,0,0,0,1,0,1,1,6,no,no,straight or heterosexual,NA,0,0,1,20,No,0,NA,NA,0,0,0,1,0,0,0,1,0
35,44,woman,graduate or professional degree,1,1,0,0,1,0,0,0,0,0,0,0,3,no,no,straight or heterosexual,0,0,0,0,21,No,0,NA,0,0,0,0,0,1,0,0,0,0
38,42,woman,two year degree or some college,1,0,0,0,1,0,0,0,0,1,1,0,4,no,no,straight or heterosexual,0,1,2,1,18,No,2,1,24,0,0,0,0,0,0,0,0,0
71,49,woman,two year degree or some college,0,1,0,0,0,0,1,0,1,1,0,1,5,no,no,straight or heterosexual,0,0,0,1,14,No,0,NA,5,0,0,0,0,0,0,0,0,0
72,37,man,graduate or professional degree,0,1,0,0,0,1,0,0,0,0,1,0,3,yes,yes,straight or heterosexual,1,6,3,3,16,"Yes, I've committed both sexual and emotional infidelity",100,6,120,0,0,0,0,0,0,0,0,0
74,30,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,straight or heterosexual,1,0,0,0,27,"Yes, I've committed emotional infidelity",242,NA,NA,1,0,0,0,0,0,0,0,0
87,51,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,homosexual or gay or lesbian,NA,0,0,3,20,"Yes, I've committed sexual infidelity",6,1,20,0,0,0,0,0,0,0,1,0
99,43,man,two year degree or some college,1,0,0,0,0,0,0,1,1,0,1,0,4,yes,yes,homosexual or gay or lesbian,0,0,0,2,30,"Yes, I've committed sexual infidelity",0,NA,150,0,0,0,0,0,0,0,0,0
114,32,man,bachelors degree,1,1,0,0,0,0,0,0,0,1,1,1,5,no,yes,straight or heterosexual,1,0,1,2,18,No,0,NA,3,0,0,0,0,0,0,0,0,0
124,24,man,high school degree or less,1,0,0,0,1,0,0,1,0,0,1,0,4,no,no,straight or heterosexual,2,1,1,2,15,No,3,1,6,0,0,0,0,0,0,0,0,0
135,46,man,two year degree or some college,1,1,0,0,0,0,0,0,1,1,1,0,5,yes,yes,straight or heterosexual,1,1,0,2,21,"Yes, I've committed emotional infidelity",2,1,5,0,0,0,0,0,0,0,1,1
150,34,man,two year degree or some college,1,0,0,0,0,0,0,0,0,1,1,0,3,no,no,straight or heterosexual,NA,0,0,2,29,No,0,NA,NA,0,0,0,0,0,1,0,1,0
168,39,woman,bachelors degree,0,0,0,0,0,0,0,0,1,0,0,0,1,yes,yes,straight or heterosexual,0,0,0,2,15,No,1,1,15,0,0,0,0,0,0,0,0,0
173,55,woman,two year degree or some college,0,0,0,0,0,0,0,1,0,0,1,0,2,no,no,straight or heterosexual,NA,0,0,3,13 & under,"Yes, I've committed emotional infidelity",0,NA,4,0,0,0,0,0,0,0,0,0
196,48,man,graduate or professional degree,1,1,1,1,1,1,1,1,1,1,1,1,12,yes,yes,straight or heterosexual,0,7,4,3,15,No,4,2,NA,0,0,0,0,0,1,1,1,1
203,49,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,straight or heterosexual,NA,0,0,1,21,No,12,4,NA,0,0,0,0,0,0,0,0,0
213,60,woman,two year degree or some college,0,1,0,0,0,0,0,1,1,1,1,0,5,yes,yes,straight or heterosexual,1,0,0,3,16,"Yes, I've committed both sexual and emotional infidelity",0,NA,9,0,0,0,0,0,0,0,0,0
219,50,man,bachelors degree,0,0,0,0,1,0,1,1,1,1,0,1,6,yes,yes,straight or heterosexual,2,5,2,10,21,"Yes, I've committed both sexual and emotional infidelity",0,NA,10,0,0,0,0,0,0,0,0,0
221,48,man,two year degree or some college,0,0,0,0,0,0,0,1,0,0,1,0,2,yes,no,straight or heterosexual,2,0,0,2,20,No,6,3,12,0,0,0,1,0,1,0,0,0
226,28,woman,two year degree or some college,0,0,0,0,0,0,0,1,1,1,1,1,5,yes,yes,straight or heterosexual,1,0,2,1,18,No,2,1,8,0,0,0,1,0,0,0,0,0
227,44,man,two year degree or some college,1,1,1,0,1,0,1,1,1,1,1,1,10,yes,yes,homosexual or gay or lesbian,NA,0,0,0,29,No,0,NA,4,0,0,0,0,0,0,0,0,0
246,55,man,NA,0,0,0,0,0,1,0,0,1,1,0,1,4,yes,no,straight or heterosexual,2,1,0,3,20,No,0,NA,4,0,0,0,0,0,0,0,0,0
256,60,woman,two year degree or some college,0,0,0,0,0,0,0,1,0,0,0,1,2,yes,no,straight or heterosexual,NA,0,0,2,16,"Yes, I've committed both sexual and emotional infidelity",0,NA,25,0,1,0,0,0,0,0,1,0
266,21,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,straight or heterosexual,1,2,3,1,16,"Yes, I've committed sexual infidelity",61,3,NA,0,0,0,0,0,0,0,0,1
271,23,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,1,0,0,1,no,no,straight or heterosexual,0,0,0,0,23,No,1,1,1,0,0,0,0,0,0,0,0,0
283,23,woman,two year degree or some college,1,0,0,0,0,0,0,0,0,1,0,1,3,yes,yes,bisexual,NA,3,3,1,18,No,NA,5,12,0,0,0,0,0,0,1,0,0
284,20,woman,two year degree or some college,0,0,0,0,0,0,0,0,0,0,1,1,2,no,no,straight or heterosexual,1,3,2,1,16,No,10,3,4,0,0,0,0,0,0,1,1,1
293,39,woman,two year degree or some college,1,0,0,0,0,0,0,1,1,0,1,0,4,NA,NA,straight or heterosexual,NA,0,0,1,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1
297,54,man,two year degree or some college,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,straight or heterosexual,NA,0,0,2,16,No,33,17,70,0,0,0,0,0,0,0,0,0
307,23,man,bachelors degree,0,0,0,0,0,0,1,0,0,1,0,0,2,yes,no,bisexual,2,0,0,4,17,"Yes, I've committed emotional infidelity",4,4,6,0,0,0,0,0,0,0,1,1
313,19,man,two year degree or some college,1,0,1,0,0,0,0,0,0,1,1,1,5,no,yes,homosexual or gay or lesbian,NA,2,0,5,16,"Yes, I've committed emotional infidelity",0,NA,4,0,0,1,0,0,0,0,1,1
316,25,woman,graduate or professional degree,1,1,0,0,0,1,1,0,1,1,1,1,8,yes,no,straight or heterosexual,NA,5,2,3,18,No,40,5,17,0,0,0,0,0,0,1,0,0
322,24,woman,bachelors degree,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,straight or heterosexual,1,0,0,5,22,No,0,NA,1,0,0,0,0,0,0,0,0,0
325,18,woman,high school degree or less,0,0,0,0,0,0,0,1,0,1,0,0,2,NA,NA,bisexual,NA,0,0,2,Still a virgin,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0
330,60,man,bachelors degree,1,0,0,1,0,0,0,0,1,0,1,0,4,yes,no,straight or heterosexual,0,0,0,3,27,No,0,NA,20,1,0,0,0,0,0,0,0,0
